Div,Date,HomeTeam,FTHG
E0,13/08/2016,Burnley,0
E0,13/08/2016,Crystal Palace,0
E0,13/08/2016,Everton,1
E0,13/08/2016,Hull,2
E0,13/08/2016,Man City,2
E0,13/08/2016,Middlesbrough,1
E0,13/08/2016,Southampton,1
E0,14/08/2016,Arsenal,3
E0,14/08/2016,Bournemouth,1
E0,15/08/2016,Chelsea,2
E0,19/08/2016,Man United,2
E0,20/08/2016,Burnley,2
E0,20/08/2016,Leicester,0
E0,20/08/2016,Stoke,1
E0,20/08/2016,Swansea,0
E0,20/08/2016,Tottenham,1
E0,20/08/2016,Watford,1
E0,20/08/2016,West Brom,1
E0,21/08/2016,Sunderland,1
E0,21/08/2016,West Ham,1
E0,27/08/2016,Chelsea,3
E0,27/08/2016,Crystal Palace,1
E0,27/08/2016,Everton,1
E0,27/08/2016,Hull,0
E0,27/08/2016,Leicester,2
E0,27/08/2016,Southampton,1
E0,27/08/2016,Tottenham,1
E0,27/08/2016,Watford,1
E0,28/08/2016,Man City,3
E0,28/08/2016,West Brom,0
E0,10/09/2016,Arsenal,2
E0,10/09/2016,Bournemouth,1
E0,10/09/2016,Burnley,1
E0,10/09/2016,Liverpool,4
E0,10/09/2016,Man United,1
E0,10/09/2016,Middlesbrough,1
E0,10/09/2016,Stoke,0
E0,10/09/2016,West Ham,2
E0,11/09/2016,Swansea,2
E0,12/09/2016,Sunderland,0
E0,16/09/2016,Chelsea,1
E0,17/09/2016,Everton,3
E0,17/09/2016,Hull,1
E0,17/09/2016,Leicester,3
E0,17/09/2016,Man City,4
E0,17/09/2016,West Brom,4
E0,18/09/2016,Crystal Palace,4
E0,18/09/2016,Southampton,1
E0,18/09/2016,Tottenham,1
E0,18/09/2016,Watford,3
E0,24/09/2016,Arsenal,3
E0,24/09/2016,Bournemouth,1
E0,24/09/2016,Liverpool,5
E0,24/09/2016,Man United,4
E0,24/09/2016,Middlesbrough,1
E0,24/09/2016,Stoke,1
E0,24/09/2016,Sunderland,2
E0,24/09/2016,Swansea,1
E0,25/09/2016,West Ham,0
E0,26/09/2016,Burnley,2
E0,30/09/2016,Everton,1
E0,01/10/2016,Hull,0
E0,01/10/2016,Sunderland,1
E0,01/10/2016,Swansea,1
E0,01/10/2016,Watford,2
E0,01/10/2016,West Ham,1
E0,02/10/2016,Burnley,0
E0,02/10/2016,Leicester,0
E0,02/10/2016,Man United,1
E0,02/10/2016,Tottenham,2
E0,15/10/2016,Arsenal,3
E0,15/10/2016,Bournemouth,6
E0,15/10/2016,Chelsea,3
E0,15/10/2016,Crystal Palace,0
E0,15/10/2016,Man City,1
E0,15/10/2016,Stoke,2
E0,15/10/2016,West Brom,1
E0,16/10/2016,Middlesbrough,0
E0,16/10/2016,Southampton,3
E0,17/10/2016,Liverpool,0
E0,22/10/2016,Arsenal,0
E0,22/10/2016,Bournemouth,0
E0,22/10/2016,Burnley,2
E0,22/10/2016,Hull,0
E0,22/10/2016,Leicester,3
E0,22/10/2016,Liverpool,2
E0,22/10/2016,Swansea,0
E0,22/10/2016,West Ham,1
E0,23/10/2016,Chelsea,4
E0,23/10/2016,Man City,1
E0,29/10/2016,Crystal Palace,2
E0,29/10/2016,Man United,0
E0,29/10/2016,Middlesbrough,2
E0,29/10/2016,Sunderland,1
E0,29/10/2016,Tottenham,1
E0,29/10/2016,Watford,1
E0,29/10/2016,West Brom,0
E0,30/10/2016,Everton,2
E0,30/10/2016,Southampton,0
E0,31/10/2016,Stoke,3
E0,05/11/2016,Bournemouth,1
E0,05/11/2016,Burnley,3
E0,05/11/2016,Chelsea,5
E0,05/11/2016,Man City,1
E0,05/11/2016,West Ham,1
E0,06/11/2016,Arsenal,1
E0,06/11/2016,Hull,2
E0,06/11/2016,Leicester,1
